cleaned_reviewText,text_sentiment,cleaned_reviewTitle,title_sentiment
love looking converse half price unique ive never seen clear shoe like fit great plastic take little getting used style worth,1,love em,1
shoe cute nd day wearing tongue started ripping rd day wearing plastic side ripped could ripped bc wearing work lot walking work youre going buy dont recommend wearing day lot walking might rip,1,plastic ripped,1
good quality,1,good quality,1
great,1,good,1
ho scelto il modello bianco con rifinitura dietro nera e posso dire che da vicino le scarpe sono ancora pi belle il mio numero ed ho ordinato il numero e mi va benespedizione veloce il pacco arrivato anche prima del previsto prezzo ottimo dato che giro costano almeno euro pi,0,perfette,1
sono solita comprare scarpe guess e non ho mai avuto problemi con la taglia questo caso invece mi sono arrivate delle scarpe che nonostante fossero il solito numero che prendo sono molto piccole sembra quasi due numeri meno quindi immettibili,1,delusione,1
le scarpe sono molto belle calzano perfettamente,1,molto belle,1
semplicemente perfette io uso plantari su misura per piede piatto e dentro queste scarpe ci stanno perfettamente la scarpa comoda e da una buona stabilit al piede le consiglio,1,molto carine e comode,1
le scarpe sono bellissime arrivate perfetto stato con una spedizione impeccabile purtroppo il mi andava stretto e non fanno il le ho dovute restituire il venditore disponibile e gentile,1,bellissimepeccato per il numero,1
le scarpe sono ben fatte e il venditore molto preciso perch ho dovuto fare un reso e mi ha rimborsato perfettamente bravo resta nei preferiti,1,scarpe ben realizzate venditore ottimo,1
der schuh gefllt mir sehr gut der ist super bequem und leicht binsehr zu frieden danke,1,sehr bequemer schuh,1
scarpa perfetta e davvero molto bella la mia ragazza ha apprezzato venditore molto disponibile,1,perfetto,1
stupendeforse un po troppo grandima sicuramente ho sbagliato io,0,grandi,1
molto bello proprio come nelle foto comode e puoi abbinarci qualsiasi cosasuper sodisfatta grazie,1,stupende,1
true size id probably go lower end ie go wore right box little hour walking around incredibly comfortable rubbing find issue tongue stiff seen mentioned review,1,perfect right outta box,1
second pair bought loved first pair however pleased nd pair padding tongue part shoe causing irritation skin rub disappointed buy,1,disappointed,0
love shoe much second pair pure comfort thank amazon,1,wow,1
hard fit foot often wide fitting shoe look big bulky shoe comfortable right away pressure point use run around shoe going store etc look casual attractive running shoe nice rounded toe box go kind outfit happy,1,comfortable attractive,1
cmng,1,,1
really need shoe come half size right foot fit size fine left foot issue blue insole foot perspire blue colour run sock also round lace look nice remain tied need knot bow maintain tie attractive shoe look huge size thank chl,1,right foot fit size fine left foot,1
,1,,1
great quality comfort shoesi thrilled got new shoe last week bought pair ravon shoe two year ago expensive shoe store regret spending money perfect walking shoe gave plenty support bunion left big toe plenty room foot tmy new one like old pair far comfortable keepi got balanced way original pair year old still good using mow grass feel safe walking wanted new one needed pretty one werent grungy looking balanced ver important highly recommend shoe wonderful quality comfort got sale deal feel like lottery also neglected mention classy looking wellmade beautiful striking,1,great quality comfort shoe,1
would recommend running zero support could feel rock ground shoe also shaped really weird sole protrudes back around heel make foot appear much larger,1,support running,1
shoe cute online personnot muchthe shoe super light weight flimsy feeling feel supportstabilitymy partial orthotic fit well heel shoethe shoe aquacolored accent shoe string eyelet also aqua liner throughout shoe slipping socked foot shoe first time inner liner sort bunched made shoe top look distorted liner pushed forward causing upper portion toe shoe twist upward nice look point decided didnt want struggle getting shoe time im returning,1,supportive hoped,1
